RXMLlang,639-3,639-2/T,639-2/B,RXMLxl,useflag,1.00,2.00,3.00,4.00,5.00,6.00,7.00,8.00,9.00,10.00,11.00,12.00,13.00,14.00,15.00,16.00,17.00,18.00,19.00,20.00,21.00,22.00,23.00,24.00,25.00,26.00,27.00,28.00,29.00,30.00,31.00,32.00,33.00,34.00,35.00,36.00,37.00,38.00,39.00,40.00,41.00,42.00,43.00,44.00,45.00,46.00,47.00,48.00,49.00,50.00,51.00,52.00,53.00,54.00,55.00,56.00,57.00,58.00,59.00,60.00,61.00,62.00,63.00,64.00,65.00,66.00
Aceh,ace,—,—,AcehBible.xml,1,Keujadian,Keuluaran,Imeum-Imeum,Teubileueng,Kitab Teu-Ulang,Yosua,Hakém-Hakém,Rut,1 Samuel,2 Samuel,1 Raja-Raja,2 Raja-Raja,1 Tawarikh,2 Tawarikh,Ezra,Nehemia,Ester,Ayub,Zabur,Amsal,Peungkhotbah,Seulaweut Agong,Nabi Yesaya,Nabi Yeremia,Peumo Ba-E,Yehezkiel,Daniel,Hosea,Yoël,Amos,Obaja,Yunus,Mikha,Nahum,Habakuk,Zefanya,Hagai,Zakharia,Maleakhi,Matius,Markus,Lukas,Yahya,Kisah Rasui-Rasui,Roma,1 Korintus,2 Korintus,Galatia,Efesus,Filipi,Kolose,1 Tesalonika,2 Tesalonika,1 Timotius,2 Timotius,Titus,Filemon,Ibrani,Yakobus,1 Petrus,2 Petrus,1 Yahya,2 Yahya,3 Yahya,Yudas,Wahyu
Adilabad Gondi,gno,—,—,AdilabadGondiBible.xml,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,మత్తయి,మార్క్,లూక,యోహన్,అపొ. కా.,రోమ,1వ కొరంతి,2వ కొరంతి,గలతి,ఎపెసి,పిలిపి,కొలసి,1వ తెసలొనిక,2వ తెసలొనిక,1వ తిమొతి,2వ తిమొతి,తీతు,పిలెమోన్,హెబ్రి,యాకొబ్,1వ పేతురు,2వ పేతురు,1వ యోహన్,2వ యోహన్,3వ యోహన్,యూద,ఉజగిరి అరుస్వల్
Afrikaans  1983,afr,afr,afr,Afrikaans1983Bible.xml,1,Genesis,Eksodus,Levitikus,Numeri,Deuteronomium,Josua,Rigters,Rut,1 Samuel,2 Samuel,1 Konings,2 Konings,1 Kronieke,2 Kronieke,Esra,Nehemia,Ester,Job,Psalms,Spreuke,Prediker,Hooglied,Jesaja,Jeremia,Klaagliedere,Esegiël,Daniël,Hosea,Joël,Amos,Obadja,Jona,Miga,Nahum,Habakuk,Sefanja,Haggai,Sagaria,Maleagi,Matteus,Markus,Lukas,Johannes,Handelinge,Romeine,1 Korintiërs,2 Korintiërs,Galasiërs,Efesiërs,Filippense,Kolossense,1 Tessalonisense,2 Tessalonisense,1 Timoteus,2 Timoteus,Titus,Filemon,Hebreërs,Jakobus,1 Petrus,2 Petrus,1 Johannes,2 Johannes,3 Johannes,Judas,Openbaring
Afrikaans  2020,afr,afr,afr,Afrikaans2020Bible.xml,0.00,Genesis,Eksodus,Levitikus,Numeri,Deuteronomium,Josua,Rigters,Rut,1 Samuel,2 Samuel,1 Konings,2 Konings,1 Kronieke,2 Kronieke,Esra,Nehemia,Ester,Job,Psalms,Spreuke,Prediker,Hooglied,Jesaja,Jeremia,Klaagliedere,Esegiël,Daniël,Hosea,Joël,Amos,Obadja,Jona,Miga,Nahum,Habakuk,Sefanja,Haggai,Sagaria,Maleagi,Matteus,Markus,Lukas,Johannes,Handelinge,Romeine,1 Korintiërs,2 Korintiërs,Galasiërs,Efesiërs,Filippense,Kolossense,1 Tessalonisense,2 Tessalonisense,1 Timoteus,2 Timoteus,Titus,Filemon,Hebreërs,Jakobus,1 Petrus,2 Petrus,1 Johannes,2 Johannes,3 Johannes,Judas,Openbaring
Afrikaans  2023,afr,afr,afr,Afrikaans2023Bible.xml,0.00,Genesis,Eksodus,Levitikus,Numeri,Deuteronomium,Josua,Rigters,Rut,1 Samuel,2 Samuel,1 Konings,2 Konings,1 Kronieke,2 Kronieke,Esra,Nehemia,Ester,Job,Psalms,Spreuke,Prediker,Hooglied,Jesaja,Jeremia,Klaagliedere,Esegiël,Daniël,Hosea,Joël,Amos,Obadja,Jona,Miga,Nahum,Habakuk,Sefanja,Haggai,Sagaria,Maleagi,Matteus,Markus,Lukas,Johannes,Handelinge,Romeine,1 Korintiërs,2 Korintiërs,Galasiërs,Efesiërs,Filippense,Kolossense,1 Tessalonisense,2 Tessalonisense,1 Timoteus,2 Timoteus,Titus,Filemon,Hebreërs,Jakobus,1 Petrus,2 Petrus,1 Johannes,2 Johannes,3 Johannes,Judas,Openbaring
Afrikaans ABA,afr,afr,afr,AfrikaansABABible.xml,0.00,Genesis,Eksodus,Levitikus,Numeri,Deuteronomium,Josua,Rigters,Rut,1 Samuel,2 Samuel,1 Konings,2 Konings,1 Kronieke,2 Kronieke,Esra,Nehemia,Ester,Job,Psalms,Spreuke,Prediker,Hooglied,Jesaja,Jeremia,Klaagliedere,Esegiël,Daniël,Hosea,Joël,Amos,Obadja,Jona,Miga,Nahum,Habakuk,Sefanja,Haggai,Sagaria,Maleagi,Matteus,Markus,Lukas,Johannes,Handelinge,Romeine,1 Korintiërs,2 Korintiërs,Galasiërs,Efesiërs,Filippense,Kolossense,1 Tessalonisense,2 Tessalonisense,1 Timoteus,2 Timoteus,Titus,Filemon,Hebreërs,Jakobus,1 Petrus,2 Petrus,1 Johannes,2 Johannes,3 Johannes,Judas,Openbaring
Afrikaans,afr,afr,afr,AfrikaansBible.xml,0.00,Genesis,Eksodus,Levitikus,Numeri,Deuteronomium,Josua,Rigters,Rut,1 Samuel,2 Samuel,1 Konings,2 Konings,1 Kronieke,2 Kronieke,Esra,Nehemia,Ester,Job,Psalms,Spreuke,Prediker,Hooglied,Jesaja,Jeremia,Klaagliedere,Esegiël,Daniël,Hosea,Joël,Amos,Obadja,Jona,Miga,Nahum,Habakuk,Sefanja,Haggai,Sagaria,Maleagi,Matteus,Markus,Lukas,Johannes,Handelinge,Romeine,1 Korintiërs,2 Korintiërs,Galasiërs,Efesiërs,Filippense,Kolossense,1 Tessalonisense,2 Tessalonisense,1 Timoteus,2 Timoteus,Titus,Filemon,Hebreërs,Jakobus,1 Petrus,2 Petrus,1 Johannes,2 Johannes,3 Johannes,Judas,Openbaring
Afrikaans DB,afr,afr,afr,AfrikaansDBBible.xml,0.00,Genesis,Eksodus,Levitikus,Numeri,Deuteronomium,Josua,Rigters,Rut,1 Samuel,2 Samuel,1 Konings,2 Konings,1 Kronieke,2 Kronieke,Esra,Nehemia,Ester,Job,Psalms,Spreuke,Prediker,Hooglied,Jesaja,Jeremia,Klaagliedere,Esegiël,Daniël,Hosea,Joël,Amos,Obadja,Jona,Miga,Nahum,Habakuk,Sefanja,Haggai,Sagaria,Maleagi,Matteus,Markus,Lukas,Johannes,Handelinge,Romeine,1 Korintiërs,2 Korintiërs,Galasiërs,Efesiërs,Filippense,Kolossense,1 Tessalonisense,2 Tessalonisense,1 Timoteus,2 Timoteus,Titus,Filemon,Hebreërs,Jakobus,1 Petrus,2 Petrus,1 Johannes,2 Johannes,3 Johannes,Judas,Openbaring
Afrikaans NLV,afr,afr,afr,AfrikaansNLVBible.xml,0.00,Genesis,Eksodus,Levitikus,Numeri,Deuteronomium,Josua,Rigters,Rut,1 Samuel,2 Samuel,1 Konings,2 Konings,1 Kronieke,2 Kronieke,Esra,Nehemia,Ester,Job,Psalms,Spreuke,Prediker,Hooglied,Jesaja,Jeremia,Klaagliedere,Esegiël,Daniël,Hosea,Joël,Amos,Obadja,Jona,Miga,Nahum,Habakuk,Sefanja,Haggai,Sagaria,Maleagi,Matteus,Markus,Lukas,Johannes,Handelinge,Romeine,1 Korintiërs,2 Korintiërs,Galasiërs,Efesiërs,Filippense,Kolossense,1 Tessalonisense,2 Tessalonisense,1 Timoteus,2 Timoteus,Titus,Filemon,Hebreërs,Jakobus,1 Petrus,2 Petrus,1 Johannes,2 Johannes,3 Johannes,Judas,Openbaring
Ahirani,ahr,—,—,AhiraniBible.xml,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,मत्तय,मार्क,लूक,योहान,प्रेषितस्ना काम,रोमकरांस पत्र,1 करिंथकरांस पत्र,2 करिंथकरांस पत्र,गलतीकरांस पत्र,इफिसकरांस पत्र,फिलिप्पैकरांस पत्र,कलस्सैकरांस पत्र,1 थेस्सलनीकरांस पत्र,2 थेस्सलनीकरांस पत्र,1 तिमथ्य,2 तिमथ्य,तीत,फिलेमोन,इब्रानी,याकोब,1 पेत्र,2 पेत्र,1 योहान,2 योहान,3 योहान,यहूदा,प्रकटीकरण
Albanian  1872,sqi,sqi,alb,Albanian1872Bible.xml,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mateu,Marku,Luka,Gjoni,Veprat,Romakëve,1 Korintasve,2 Korintasve,Galatasve,Efesianëve,Filipianëve,Kolosasve,1 Selanikasve,2 Selanikasve,1 Timoteut,2 Timoteut,Titit,Filemonit,Hebrenjve,Jakobi,1 Pjetri,2 Pjetri,1 Gjoni,2 Gjoni,3 Gjoni,Juda,Zbulesa
Albanian  1879,sqi,sqi,alb,Albanian1879Bible.xml,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mateu,Marku,Luka,Gjoni,Veprat,Romakëve,1 Korintasve,2 Korintasve,Galatasve,Efesianëve,Filipianëve,Kolosasve,1 Selanikasve,2 Selanikasve,1 Timoteut,2 Timoteut,Titit,Filemonit,Hebrenjve,Jakobi,1 Pjetri,2 Pjetri,1 Gjoni,2 Gjoni,3 Gjoni,Juda,Zbulesa
Albanian  2018,sqi,sqi,alb,Albanian2018Bible.xml,1,Zanafilla,Dalja,Levitiku,Numrat,Ligji i Përtërirë,Jozueu,Gjyqtarët,Ruthi,1 Samueli,2 Samueli,1 Mbretërve,2 Mbretërve,1 Kronikave,2 Kronikave,Ezra,Nehemia,Estera,Jobi,Psalmet,Fjalët e Urta,Predikuesi,Kënga e Këngëve,Isaia,Jeremia,Vajtimet,Ezekieli,Danieli,Hosea,Joeli,Amosi,Obadia,Jona,Mika,Nahumi,Habakuku,Sofonia,Hagai,Zakaria,Malakia,Mateu,Marku,Luka,Gjoni,Veprat,Romakëve,1 Korintasve,2 Korintasve,Galatasve,Efesianëve,Filipianëve,Kolosasve,1 Selanikasve,2 Selanikasve,1 Timoteut,2 Timoteut,Titit,Filemonit,Hebrenjve,Jakobi,1 Pjetri,2 Pjetri,1 Gjoni,2 Gjoni,3 Gjoni,Juda,Zbulesa
Albanian ALTMK 27,sqi,sqi,alb,AlbanianALTMK27Bible.xml,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mateu,Marku,Luka,Gjoni,Veprat,Romakëve,1 Korintasve,2 Korintasve,Galatasve,Efesianëve,Filipianëve,Kolosasve,1 Selanikasve,2 Selanikasve,1 Timoteut,2 Timoteut,Titit,Filemonit,Hebrenjve,Jakobi,1 Pjetri,2 Pjetri,1 Gjoni,2 Gjoni,3 Gjoni,Juda,Zbulesa
Albanian,sqi,sqi,alb,AlbanianBible.xml,1.00,Zanafilla,Dalja,Levitiku,Numrat,Ligji i Përtërirë,Jozueu,Gjyqtarët,Ruthi,1 Samueli,2 Samueli,1 Mbretërve,2 Mbretërve,1 Kronikave,2 Kronikave,Ezra,Nehemia,Estera,Jobi,Psalmet,Fjalët e Urta,Predikuesi,Kënga e Këngëve,Isaia,Jeremia,Vajtimet,Ezekieli,Danieli,Hosea,Joeli,Amosi,Obadia,Jona,Mika,Nahumi,Habakuku,Sofonia,Hagai,Zakaria,Malakia,Mateu,Marku,Luka,Gjoni,Veprat,Romakëve,1 Korintasve,2 Korintasve,Galatasve,Efesianëve,Filipianëve,Kolosasve,1 Selanikasve,2 Selanikasve,1 Timoteut,2 Timoteut,Titit,Filemonit,Hebrenjve,Jakobi,1 Pjetri,2 Pjetri,1 Gjoni,2 Gjoni,3 Gjoni,Juda,Zbulesa
Amharic  2000,amh,amh,amh,Amharic2000Bible.xml,1,ዘፍጥረት,ዘውጣ,ዘሌዋውያን,ዘኍልቍ,ዘዳግም,ኢያሱ,ዳኛት,ሩት,1 ሳሙኤል,2 ሳሙኤል,1 ነገሥት,2 ነገሥት,1 ዜና,2 ዜና,ኤዝራ,ነህምያ,ኤስቴር,ኢዮብ,መዝሙር,ምሳሌ,መክብብ,የሰሎሞን መዝሙር,ኢሳይያስ,ኤርምያስ,ሰንቆ,ዔዝኪኤል,ዳንኤል,ሆሴዕ,ዮኤል,አሞጽ,አብድዩ,ዮናስ,ሚክያስ,ናሆም,ዕንቁ,ሶፎንያስ,ሐጌ,ዘካርያስ,ማላኪ,ማቴዎስ,ማርቆስ,ሉቃስ,ዮሐንስ,ሐዋርያት ሥራ,ሮሜ,1 ቆሮንቶስ,2 ቆሮንቶስ,ገላቲያ,ኤፌሶን,ፊሊጵስዩስ,ቆላሴ,1 ተሰሎንቄ,2 ተሰሎንቄ,1 ጢሞቴዎስ,2 ጢሞቴዎስ,ጢቶ,ፊልሞና,ዕብራውያን,ያዕቆብ,1 ጴጥሮስ,2 ጴጥሮስ,1 ዮሐንስ,2 ዮሐንስ,3 ዮሐንስ,ይሁዳ,ራእይ
Amharic,amh,amh,amh,AmharicBible.xml,0.00,ዘፍጥረት,ዘውጣ,ዘሌዋውያን,ዘኍልቍ,ዘዳግም,ኢያሱ,ዳኛት,ሩት,1 ሳሙኤል,2 ሳሙኤል,1 ነገሥት,2 ነገሥት,1 ዜና,2 ዜና,ኤዝራ,ነህምያ,ኤስቴር,ኢዮብ,መዝሙር,ምሳሌ,መክብብ,የሰሎሞን መዝሙር,ኢሳይያስ,ኤርምያስ,ሰንቆ,ዔዝኪኤል,ዳንኤል,ሆሴዕ,ዮኤል,አሞጽ,አብድዩ,ዮናስ,ሚክያስ,ናሆም,ዕንቁ,ሶፎንያስ,ሐጌ,ዘካርያስ,ማላኪ,ማቴዎስ,ማርቆስ,ሉቃስ,ዮሐንስ,ሐዋርያት ሥራ,ሮሜ,1 ቆሮንቶስ,2 ቆሮንቶስ,ገላቲያ,ኤፌሶን,ፊሊጵስዩስ,ቆላሴ,1 ተሰሎንቄ,2 ተሰሎንቄ,1 ጢሞቴዎስ,2 ጢሞቴዎስ,ጢቶ,ፊልሞና,ዕብራውያን,ያዕቆብ,1 ጴጥሮስ,2 ጴጥሮስ,1 ዮሐንስ,2 ዮሐንስ,3 ዮሐንስ,ይሁዳ,ራእይ
Amharic Catholic,amh,amh,amh,AmharicCatholicBible.xml,0.00,ዘፍጥረት,ዘውጣ,ዘሌዋውያን,ዘኍልቍ,ዘዳግም,ኢያሱ,ዳኛት,ሩት,1 ሳሙኤል,2 ሳሙኤል,1 ነገሥት,2 ነገሥት,1 ዜና,2 ዜና,ኤዝራ,ነህምያ,ኤስቴር,ኢዮብ,መዝሙር,ምሳሌ,መክብብ,የሰሎሞን መዝሙር,ኢሳይያስ,ኤርምያስ,ሰንቆ,ዔዝኪኤል,ዳንኤል,ሆሴዕ,ዮኤል,አሞጽ,አብድዩ,ዮናስ,ሚክያስ,ናሆም,ዕንቁ,ሶፎንያስ,ሐጌ,ዘካርያስ,ማላኪ,ማቴዎስ,ማርቆስ,ሉቃስ,ዮሐንስ,ሐዋርያት ሥራ,ሮሜ,1 ቆሮንቶስ,2 ቆሮንቶስ,ገላቲያ,ኤፌሶን,ፊሊጵስዩስ,ቆላሴ,1 ተሰሎንቄ,2 ተሰሎንቄ,1 ጢሞቴዎስ,2 ጢሞቴዎስ,ጢቶ,ፊልሞና,ዕብራውያን,ያዕቆብ,1 ጴጥሮስ,2 ጴጥሮስ,1 ዮሐንስ,2 ዮሐንስ,3 ዮሐንስ,ይሁዳ,ራእይ
Amharic Dawro,amh,amh,amh,AmharicDawroBible.xml,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ማቴዎስ,ማርቆስ,ሉቃስ,ዮሐንስ,ሐዋርያት ሥራ,ሮሜ,1 ቆሮንቶስ,2 ቆሮንቶስ,ገላቲያ,ኤፌሶን,ፊሊጵስዩስ,ቆላሴ,1 ተሰሎንቄ,2 ተሰሎንቄ,1 ጢሞቴዎስ,2 ጢሞቴዎስ,ጢቶ,ፊልሞና,ዕብራውያን,ያዕቆብ,1 ጴጥሮስ,2 ጴጥሮስ,1 ዮሐንስ,2 ዮሐንስ,3 ዮሐንስ,ይሁዳ,ራእይ
Amharic Dawro DFBE,amh,amh,amh,AmharicDawroDFBEBible.xml,1.00,ዘፍጥረት,ዘውጣ,ዘሌዋውያን,ዘኍልቍ,ዘዳግም,ኢያሱ,ዳኛት,ሩት,1 ሳሙኤል,2 ሳሙኤል,1 ነገሥት,2 ነገሥት,1 ዜና,2 ዜና,ኤዝራ,ነህምያ,ኤስቴር,ኢዮብ,መዝሙር,ምሳሌ,መክብብ,የሰሎሞን መዝሙር,ኢሳይያስ,ኤርምያስ,ሰንቆ,ዔዝኪኤል,ዳንኤል,ሆሴዕ,ዮኤል,አሞጽ,አብድዩ,ዮናስ,ሚክያስ,ናሆም,ዕንቁ,ሶፎንያስ,ሐጌ,ዘካርያስ,ማላኪ,ማቴዎስ,ማርቆስ,ሉቃስ,ዮሐንስ,ሐዋርያት ሥራ,ሮሜ,1 ቆሮንቶስ,2 ቆሮንቶስ,ገላቲያ,ኤፌሶን,ፊሊጵስዩስ,ቆላሴ,1 ተሰሎንቄ,2 ተሰሎንቄ,1 ጢሞቴዎስ,2 ጢሞቴዎስ,ጢቶ,ፊልሞና,ዕብራውያን,ያዕቆብ,1 ጴጥሮስ,2 ጴጥሮስ,1 ዮሐንስ,2 ዮሐንስ,3 ዮሐንስ,ይሁዳ,ራእይ
Amharic Dawro DFBLVL,amh,amh,amh,AmharicDawroDFBLVLBible.xml,0.00,ዘፍጥረት,ዘውጣ,ዘሌዋውያን,ዘኍልቍ,ዘዳግም,ኢያሱ,ዳኛት,ሩት,1 ሳሙኤል,2 ሳሙኤል,1 ነገሥት,2 ነገሥት,1 ዜና,2 ዜና,ኤዝራ,ነህምያ,ኤስቴር,ኢዮብ,መዝሙር,ምሳሌ,መክብብ,የሰሎሞን መዝሙር,ኢሳይያስ,ኤርምያስ,ሰንቆ,ዔዝኪኤል,ዳንኤል,ሆሴዕ,ዮኤል,አሞጽ,አብድዩ,ዮናስ,ሚክያስ,ናሆም,ዕንቁ,ሶፎንያስ,ሐጌ,ዘካርያስ,ማላኪ,ማቴዎስ,ማርቆስ,ሉቃስ,ዮሐንስ,ሐዋርያት ሥራ,ሮሜ,1 ቆሮንቶስ,2 ቆሮንቶስ,ገላቲያ,ኤፌሶን,ፊሊጵስዩስ,ቆላሴ,1 ተሰሎንቄ,2 ተሰሎንቄ,1 ጢሞቴዎስ,2 ጢሞቴዎስ,ጢቶ,ፊልሞና,ዕብራውያን,ያዕቆብ,1 ጴጥሮስ,2 ጴጥሮስ,1 ዮሐንስ,2 ዮሐንስ,3 ዮሐንስ,ይሁዳ,ራእይ
Amharic Dawro DWRNT,amh,amh,amh,AmharicDawroDWRNTBible.xml,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ማቴዎስ,ማርቆስ,ሉቃስ,ዮሐንስ,ሐዋርያት ሥራ,ሮሜ,1 ቆሮንቶስ,2 ቆሮንቶስ,ገላቲያ,ኤፌሶን,ፊሊጵስዩስ,ቆላሴ,1 ተሰሎንቄ,2 ተሰሎንቄ,1 ጢሞቴዎስ,2 ጢሞቴዎስ,ጢቶ,ፊልሞና,ዕብራውያን,ያዕቆብ,1 ጴጥሮስ,2 ጴጥሮስ,1 ዮሐንስ,2 ዮሐንስ,3 ዮሐንስ,ይሁዳ,ራእይ
Amharic Dawro WWI,amh,amh,amh,AmharicDawroWWIBible.xml,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ማቴዎስ,ማርቆስ,ሉቃስ,ዮሐንስ,ሐዋርያት ሥራ,ሮሜ,1 ቆሮንቶስ,2 ቆሮንቶስ,ገላቲያ,ኤፌሶን,ፊሊጵስዩስ,ቆላሴ,1 ተሰሎንቄ,2 ተሰሎንቄ,1 ጢሞቴዎስ,2 ጢሞቴዎስ,ጢቶ,ፊልሞና,ዕብራውያን,ያዕቆብ,1 ጴጥሮስ,2 ጴጥሮስ,1 ዮሐንስ,2 ዮሐንስ,3 ዮሐንስ,ይሁዳ,ራእይ
Amharic Gamo 2017,amh,amh,amh,AmharicGamo2017Bible.xml,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ማቴዎስ,ማርቆስ,ሉቃስ,ዮሐንስ,ሐዋርያት ሥራ,ሮሜ,1 ቆሮንቶስ,2 ቆሮንቶስ,ገላቲያ,ኤፌሶን,ፊሊጵስዩስ,ቆላሴ,1 ተሰሎንቄ,2 ተሰሎንቄ,1 ጢሞቴዎስ,2 ጢሞቴዎስ,ጢቶ,ፊልሞና,ዕብራውያን,ያዕቆብ,1 ጴጥሮስ,2 ጴጥሮስ,1 ዮሐንስ,2 ዮሐንስ,3 ዮሐንስ,ይሁዳ,ራእይ
Amharic Gamo,amh,amh,amh,AmharicGamoBible.xml,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ማቴዎስ,ማርቆስ,ሉቃስ,ዮሐንስ,ሐዋርያት ሥራ,ሮሜ,1 ቆሮንቶስ,2 ቆሮንቶስ,ገላቲያ,ኤፌሶን,ፊሊጵስዩስ,ቆላሴ,1 ተሰሎንቄ,2 ተሰሎንቄ,1 ጢሞቴዎስ,2 ጢሞቴዎስ,ጢቶ,ፊልሞና,ዕብራውያን,ያዕቆብ,1 ጴጥሮስ,2 ጴጥሮስ,1 ዮሐንስ,2 ዮሐንስ,3 ዮሐንስ,ይሁዳ,ራእይ
Amharic Gamo GM,amh,amh,amh,AmharicGamoGMBible.xml,1.00,ዘፍጥረት,ዘውጣ,ዘሌዋውያን,ዘኍልቍ,ዘዳግም,ኢያሱ,ዳኛት,ሩት,1 ሳሙኤል,2 ሳሙኤል,1 ነገሥት,2 ነገሥት,1 ዜና,2 ዜና,ኤዝራ,ነህምያ,ኤስቴር,ኢዮብ,መዝሙር,ምሳሌ,መክብብ,የሰሎሞን መዝሙር,ኢሳይያስ,ኤርምያስ,ሰንቆ,ዔዝኪኤል,ዳንኤል,ሆሴዕ,ዮኤል,አሞጽ,አብድዩ,ዮናስ,ሚክያስ,ናሆም,ዕንቁ,ሶፎንያስ,ሐጌ,ዘካርያስ,ማላኪ,ማቴዎስ,ማርቆስ,ሉቃስ,ዮሐንስ,ሐዋርያት ሥራ,ሮሜ,1 ቆሮንቶስ,2 ቆሮንቶስ,ገላቲያ,ኤፌሶን,ፊሊጵስዩስ,ቆላሴ,1 ተሰሎንቄ,2 ተሰሎንቄ,1 ጢሞቴዎስ,2 ጢሞቴዎስ,ጢቶ,ፊልሞና,ዕብራውያን,ያዕቆብ,1 ጴጥሮስ,2 ጴጥሮስ,1 ዮሐንስ,2 ዮሐንስ,3 ዮሐንስ,ይሁዳ,ራእይ
Amharic Gamo Word,amh,amh,amh,AmharicGamoWordBible.xml,0.00,ዘፍጥረት,ዘውጣ,ዘሌዋውያን,ዘኍልቍ,ዘዳግም,ኢያሱ,ዳኛት,ሩት,1 ሳሙኤል,2 ሳሙኤል,1 ነገሥት,2 ነገሥት,1 ዜና,2 ዜና,ኤዝራ,ነህምያ,ኤስቴር,ኢዮብ,መዝሙር,ምሳሌ,መክብብ,የሰሎሞን መዝሙር,ኢሳይያስ,ኤርምያስ,ሰንቆ,ዔዝኪኤል,ዳንኤል,ሆሴዕ,ዮኤል,አሞጽ,አብድዩ,ዮናስ,ሚክያስ,ናሆም,ዕንቁ,ሶፎንያስ,ሐጌ,ዘካርያስ,ማላኪ,ማቴዎስ,ማርቆስ,ሉቃስ,ዮሐንስ,ሐዋርያት ሥራ,ሮሜ,1 ቆሮንቶስ,2 ቆሮንቶስ,ገላቲያ,ኤፌሶን,ፊሊጵስዩስ,ቆላሴ,1 ተሰሎንቄ,2 ተሰሎንቄ,1 ጢሞቴዎስ,2 ጢሞቴዎስ,ጢቶ,ፊልሞና,ዕብራውያን,ያዕቆብ,1 ጴጥሮስ,2 ጴጥሮስ,1 ዮሐንስ,2 ዮሐንስ,3 ዮሐንስ,ይሁዳ,ራእይ
Amharic Gofa,amh,amh,amh,AmharicGofaBible.xml,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ማቴዎስ,ማርቆስ,ሉቃስ,ዮሐንስ,ሐዋርያት ሥራ,ሮሜ,1 ቆሮንቶስ,2 ቆሮንቶስ,ገላቲያ,ኤፌሶን,ፊሊጵስዩስ,ቆላሴ,1 ተሰሎንቄ,2 ተሰሎንቄ,1 ጢሞቴዎስ,2 ጢሞቴዎስ,ጢቶ,ፊልሞና,ዕብራውያን,ያዕቆብ,1 ጴጥሮስ,2 ጴጥሮስ,1 ዮሐንስ,2 ዮሐንስ,3 ዮሐንስ,ይሁዳ,ራእይ
Amharic Gofa GFBEVF,amh,amh,amh,AmharicGofaGFBEVFBible.xml,0.00,ዘፍጥረት,ዘውጣ,ዘሌዋውያን,ዘኍልቍ,ዘዳግም,ኢያሱ,ዳኛት,ሩት,1 ሳሙኤል,2 ሳሙኤል,1 ነገሥት,2 ነገሥት,1 ዜና,2 ዜና,ኤዝራ,ነህምያ,ኤስቴር,ኢዮብ,መዝሙር,ምሳሌ,መክብብ,የሰሎሞን መዝሙር,ኢሳይያስ,ኤርምያስ,ሰንቆ,ዔዝኪኤል,ዳንኤል,ሆሴዕ,ዮኤል,አሞጽ,አብድዩ,ዮናስ,ሚክያስ,ናሆም,ዕንቁ,ሶፎንያስ,ሐጌ,ዘካርያስ,ማላኪ,ማቴዎስ,ማርቆስ,ሉቃስ,ዮሐንስ,ሐዋርያት ሥራ,ሮሜ,1 ቆሮንቶስ,2 ቆሮንቶስ,ገላቲያ,ኤፌሶን,ፊሊጵስዩስ,ቆላሴ,1 ተሰሎንቄ,2 ተሰሎንቄ,1 ጢሞቴዎስ,2 ጢሞቴዎስ,ጢቶ,ፊልሞና,ዕብራውያን,ያዕቆብ,1 ጴጥሮስ,2 ጴጥሮስ,1 ዮሐንስ,2 ዮሐንስ,3 ዮሐንስ,ይሁዳ,ራእይ
Amharic Gofa GFBLVF,amh,amh,amh,AmharicGofaGFBLVFBible.xml,0.00,ዘፍጥረት,ዘውጣ,ዘሌዋውያን,ዘኍልቍ,ዘዳግም,ኢያሱ,ዳኛት,ሩት,1 ሳሙኤል,2 ሳሙኤል,1 ነገሥት,2 ነገሥት,1 ዜና,2 ዜና,ኤዝራ,ነህምያ,ኤስቴር,ኢዮብ,መዝሙር,ምሳሌ,መክብብ,የሰሎሞን መዝሙር,ኢሳይያስ,ኤርምያስ,ሰንቆ,ዔዝኪኤል,ዳንኤል,ሆሴዕ,ዮኤል,አሞጽ,አብድዩ,ዮናስ,ሚክያስ,ናሆም,ዕንቁ,ሶፎንያስ,ሐጌ,ዘካርያስ,ማላኪ,ማቴዎስ,ማርቆስ,ሉቃስ,ዮሐንስ,ሐዋርያት ሥራ,ሮሜ,1 ቆሮንቶስ,2 ቆሮንቶስ,ገላቲያ,ኤፌሶን,ፊሊጵስዩስ,ቆላሴ,1 ተሰሎንቄ,2 ተሰሎንቄ,1 ጢሞቴዎስ,2 ጢሞቴዎስ,ጢቶ,ፊልሞና,ዕብራውያን,ያዕቆብ,1 ጴጥሮስ,2 ጴጥሮስ,1 ዮሐንስ,2 ዮሐንስ,3 ዮሐንስ,ይሁዳ,ራእይ
